特性,Claude Code,Peri,状态
Sandbox 模式,Seatbelt macOS / bubblewrap Linux，OS 级文件+网络隔离,--,❌
,,,
上下文管理,,,
auto compact,autoCompact（token 阈值）,85% 阈值自动触发,✅
Micro-compact,microCompact（零 API，清除可压缩工具结果/图片/文档）,micro-compact（零 API，白名单工具 + 时间衰减 + 图片/文档占位符）,✅
Full Compact,LLM 结构化摘要（9 段）,LLM 9 段结构化摘要,✅
Snip Compact,snipCompact（snip 投影压缩）,--,❌
Context Collapse,contextCollapse（持久化上下文折叠）,--,❌
/compact 命令,/compact [instructions],/compact [instructions],✅
/context 命令,/context（实时分类用量 + 优化建议）,/context（上下文窗口使用情况）,⚠️
,,,
用户配置,,,
全局用户配置,~/.claude/settings.json,~/.peri/settings.json（兼容读取 .claude/）,⚠️
项目级配置,.claude/settings.json（可提交 git）,--,❌
本地配置（gitignore）,.claude/settings.local.json,--,❌
多源合并,7 层优先级（plugin → user → project → local → policy → flag → inline）,单文件加载,⚠️
项目上下文,CLAUDE.md + .claude/CLAUDE.md,CLAUDE.md + .claude/CLAUDE.md + AGENTS.md,✅
,,,
,,,
,,,
API Key 存储,Keychain（macOS）/ apiKeyHelper 脚本,明文存储 settings.json,⚠️
模型覆盖,modelOverrides（企业级 Bedrock ARN 映射）,--,❌
语言设置,支持,--,✅
插件策略,strictPluginOnlyCustomization + strictKnownMarketplaces + blockedMarketplaces,enabledPlugins + extraKnownMarketplaces,⚠️
远程托管设置,remoteManagedSettings（安全检查 + 同步缓存）,--,❌
MDM 管理,macOS plist / Windows registry / Linux JSON（first-source-wins）,--,❌
Settings Sync,settingsSync/（跨机器同步）,--,❌
配置验证,支持,--,⚠️
,,,
CLI 支持,,,
CLI 参数,"50+ flags（--model, --system-prompt, --max-budget-usd 等）",-a -y + ACP 子命令,⚠️
设置覆盖,--settings（文件或 JSON 字符串）,--,❌
无权限模式,支持,支持,✅
update,支持,支持,✅
,,,
Git 相关,,,
Gitignore 尊重,支持,--,❌
Attribution,支持,--,⚠️
Git 指令注入,支持,--,❌
Worktree 配置,支持,--,❌
,,,
,,,
插件系统,,,
Marketplace,支持,支持,✅
安装管理,支持,支持,✅
插件安装 MCP,支持,支持,✅
插件安装 Skills,支持,支持,✅
插件安装 Hooks,支持,支持,✅
插件输出样式自定义,支持,--,❌
,,,
Hook 支持,,,
Hook 事件数,28 个（7 类：session/turn/agentic/notification/context/compact/worktree/MCP）,14 个（session/turn/tool/notification/subagent/compact）,⚠️
Hook 执行类型,5 种（command/http/mcp_tool/prompt/agent）,4 种（command/http/prompt/agent）,⚠️
异步 Hook,支持,支持,⚠️
变量替换,支持,支持,✅
once 语义,支持,支持（plugin_id:hook_serialized:event key）,✅
项目级 Hooks,支持,支持,✅
插件 Hooks,支持,支持,✅
,,,
会话管理,,,
会话持久化,支持,支持,✅
会话恢复,支持,支持,⚠️
会话命名,支持,支持,✅
会话分支,/branch（从当前点分叉）,--,❌
会话导出,Export（导出对话）,--,❌
,,,
Memory System,,,
Memory 提取,extractMemories（自动写入 MEMORY.md，200 行/25KB 上限）,手动 /memory（编辑 CLAUDE.md）,❌
Memory 目录,~/.claude/projects/<project>/memory/MEMORY.md,--,❌
Auto Memory 控制,/memory 开关 + autoMemoryEnabled 配置,--,❌
Subagent Memory,子 agent 独立 auto memory,--,❌
Team Memory,支持,--,❌
Auto Dream,支持,--,❌
,,,
遥测,,,
OpenTelemetry,支持,支持,✅
Langfuse,--,支持,✅
,,,
IDE 支持,,,
VS Code 扩展,Claude Code Extension,--,❌
JetBrains 插件,Claude Code Plugin,--,❌
Neovim,社区插件（claude-code.nvim）,--,❌
ACP 协议（IDE 通用）,Zed 等 ACP Client 直连,支持,✅
,,,
其他集成,,,
GitHub Actions,支持,--,❌
GitLab CI/CD,支持,--,❌
DevContainer,支持,--,❌
Remote Control,支持,--,❌
SSH Remote,支持,--,❌
Computer Use,支持,--,❌
Chrome Use MCP,支持,--,❌
Buddy System,支持,--,❌
